"","id","name","price","longitude","latitude","review_scores_rating","host_listings_count","neighbourhood_cleansed","property_type","room_type","bedrooms","beds","log_price","log_score","log_house","log_bed","log_bedroom"
"1",3781,"HARBORSIDE-Walk to subway",125,-71.02991,42.36413,4.95,5,"East Boston","Entire rental unit","Entire home/apt",1,0,4.8283137373023,1.5993875765806,1.6094379124341,0,0
"2",5506,"** Private! Minutes to center!**",124,-71.09581,42.32844,4.78,4,"Roxbury","Entire guest suite","Entire home/apt",1,1,4.82028156560504,1.56444054650336,1.38629436111989,0,0
"3",8789,"Curved Glass Studio/1bd facing Park",110,-71.06307,42.35867,4.64,8,"Beacon Hill","Entire rental unit","Entire home/apt",1,1,4.70048036579242,1.53471436623816,2.07944154167984,0,0
"4",10730,"Bright 1bed facing Golden Dome",100,-71.06271,42.35906,4.78,8,"Downtown","Entire rental unit","Entire home/apt",1,1,4.60517018598809,1.56444054650336,2.07944154167984,0,0
"5",18711,"The Dorset Redline | 3BR 1BA | Short walk to Redline for Mass General and UMass!",111,-71.06096,42.32212,4.3,28,"Dorchester","Entire rental unit","Entire home/apt",3,3,4.70953020131233,1.45861502269952,3.3322045101752,1.09861228866811,1.09861228866811
"6",22354,"COPLEY SQ...19TH C.TWNHSE SUNNY RM",148,-71.07441,42.34487,4.47,4,"South End","Private room in residential home","Private room",1,1,4.99721227376411,1.49738840862548,1.38629436111989,0,0
"7",29765,"Luxury suite, Moroccan furnishings",230,-71.06642,42.37754,4.96,2,"Charlestown","Entire rental unit","Entire home/apt",1,1,5.4380793089232,1.60140574073684,0.693147180559945,0,0
"8",40601,"Private room & bath - Jamaica Plain",100,-71.11082,42.31347,4.98,1,"Jamaica Plain","Private room in residential home","Private room",1,1,4.60517018598809,1.60542989103656,0,0,0
"9",45987,"Gorgeous Garden Studio Charlestown",125,-71.06081,42.37424,4.63,1,"Charlestown","Entire rental unit","Entire home/apt",1,0,4.8283137373023,1.53255686809814,0,0,0
"10",47521,"Beautiful big Victorian House/A",55,-71.05954,42.29871,4.45,10,"Dorchester","Private room in residential home","Private room",3,0,4.00733318523247,1.49290409617815,2.30258509299405,0,1.09861228866811
"11",60029,"Room in geographical heart of Hub",80,-71.08894,42.32546,4.73,5,"Roxbury","Private room in rental unit","Private room",1,1,4.38202663467388,1.55392520250384,1.6094379124341,0,0
"12",67774,"Corner 1 bed facing Golden Dome",90,-71.06206,42.35689,4.83,8,"Downtown","Entire condominium (condo)","Entire home/apt",1,1,4.49980967033027,1.57484646766448,2.07944154167984,0,0
"13",69369,"Entire two-bedroom apartment near Longwood",100,-71.08894,42.32546,4.75,5,"Roxbury","Entire rental unit","Entire home/apt",2,2,4.60517018598809,1.55814461804655,1.6094379124341,0.693147180559945,0.693147180559945
"14",77681,"Waterfall Room: Bunker Hill B&B",140,-71.06373,42.37865,4.29,1,"Charlestown","Private room in rental unit","Private room",1,1,4.9416424226093,1.45628673293993,0,0,0
"15",77691,"Beautiful Victorian House",300,-71.05954,42.29871,4.41,10,"Dorchester","Private room in residential home","Private room",3,3,5.7037824746562,1.48387468945875,2.30258509299405,1.09861228866811,1.09861228866811
"16",163941,"2 bed Duplex ApT! Location!",218,-71.09423,42.32806,4.66,4,"Roxbury","Entire condominium (condo)","Entire home/apt",2,3,5.38449506278909,1.53901544813755,1.38629436111989,1.09861228866811,0.693147180559945
"17",179244,"Beautiful room with private bath",65,-71.05954,42.29871,4.38,10,"Dorchester","Private room in residential home","Private room",1,1,4.17438726989564,1.47704872438835,2.30258509299405,0,0
"18",179245,"Room in Beautiful Townhouse /F",65,-71.05954,42.29871,4.41,10,"Dorchester","Private room in residential home","Private room",2,2,4.17438726989564,1.48387468945875,2.30258509299405,0.693147180559945,0.693147180559945
"19",182613,"Great 2BR in Boston near everything w free parking",199,-71.06199,42.37739,4.79,1,"Charlestown","Entire rental unit","Entire home/apt",2,4,5.29330482472449,1.56653041142282,0,1.38629436111989,0.693147180559945
"20",190170,"In-Law Suite w/Room to Spare :-)",49,-71.0706,42.30953,4.54,1,"Dorchester","Entire guest suite","Entire home/apt",2,2,3.89182029811063,1.51292701205326,0,0.693147180559945,0.693147180559945
"21",197727,"Great Boston neighborhood , Jamaica Plain",60,-71.12061,42.31331,4.96,1,"Jamaica Plain","Private room in rental unit","Private room",1,1,4.0943445622221,1.60140574073684,0,0,0
"22",197972,"Serene Studio in a Perfect Location",140,-71.11025,42.31533,4.86,2,"Jamaica Plain","Entire rental unit","Entire home/apt",1,1,4.9416424226093,1.5810384379124,0.693147180559945,0,0
"23",205894,"Beautiful Victorian House/Room B",60,-71.05954,42.29871,4.47,10,"Dorchester","Private room in residential home","Private room",1,1,4.0943445622221,1.49738840862548,2.30258509299405,0,0
"24",220676,"Private room off the Freedom Trail.",151,-71.05226,42.36614,4.91,1,"North End","Private room in townhouse","Private room",1,1,5.01727983681492,1.59127394180643,0,0,0
"25",257588,"BOSTON LUXURY FOR LESS!! NEAR BCEC",243,-71.04125,42.33255,4.86,2,"South Boston","Entire rental unit","Entire home/apt",2,2,5.49306144334055,1.5810384379124,0.693147180559945,0.693147180559945,0.693147180559945
"26",315982,"Beautiful Two BR & Two Bathroom Townhouse",165,-71.05954,42.29871,4.36,10,"Dorchester","Entire townhouse","Entire home/apt",2,2,5.10594547390058,1.47247205736094,2.30258509299405,0.693147180559945,0.693147180559945
"27",400067,"Private Room in Spacious Apartment1",60,-71.08207,42.30066,4.39,3,"Dorchester","Private room in rental unit","Private room",1,1,4.0943445622221,1.47932922708708,1.09861228866811,0,0
"28",447826,"Sweet Little House in JP, Boston",71,-71.11012,42.31658,4.81,1,"Jamaica Plain","Private room in residential home","Private room",1,1,4.26267987704132,1.57069708411767,0,0,0
"29",496022,"Private Floor, Private Bath, City Location",173,-71.1176,42.31062,4.93,1,"Jamaica Plain","Private room in residential home","Private room",1,1,5.15329159449778,1.5953389880546,0,0,0
"30",526970,"BACK BAY/COPLEY FIRST FLOOR ROOM",148,-71.07368,42.34491,4.49,4,"South End","Private room in residential home","Private room",1,1,4.99721227376411,1.50185270175416,1.38629436111989,0,0
